"","Diplomatic","Economic","Military","Cultural","Disasters","Domestic","Obituaries","Sports","Weddings"
"salvationist",0,0,0,0,0,0,0,0,0.956400851121021
"saturnia",0,0,0,0,0,0,0,0,2.37395815616219
"reg",0,0,0,0,0,0,0,0.350772903309036,0
"pat",0,0,0,0,0,0,0,0.0014218212696874,0
"loos",0,0,0.395257328601221,0,0,0,0,0,0
"steadili",0,0,9.69663209265484e-14,0,0,0,0,0,0
"coral",0,0,4.54529629343196e-15,0,0,0,0,0,0
"discov",0.109502075483155,0,0,0,0,0,0,0,0
"hut",0,0,0,0,2.48031857232007,0,0,0,0
"someon",0,0,0,0.425311171085256,0,0,0,0,0
"miniatur",0,0,0,4.08856544986634e-14,0,0,0,0,0
"incred",0,0,0,6.52506498526127e-07,0,0,0,0,0
"resolv",0.239030063714598,0,0,0,0,0,0,0,0
